lat,lon,ele,ele2,course,roll,pitch,mode,time_epoch,time_utc
36.1819542,-75.751527,3.86,-0.49,0,0,0,Loiter,1497294077.0,2017-06-12 19:01:17+00:00
36.1819541,-75.7515271,3.85,-0.5,35.03464,0.1241475,0.6528518,Loiter,1497302405.0,2017-06-12 21:20:05+00:00
36.1819541,-75.7515272,3.85,-0.5,35.04689,0.1286862,0.6429517,Loiter,1497302405.0,2017-06-12 21:20:05+00:00
36.1819541,-75.7515274,3.85,-0.5,35.06055,0.1277367,0.6417556,Loiter,1497302405.0,2017-06-12 21:20:05+00:00
36.1819541,-75.7515276,3.83,-0.52,35.08959,0.1367309,0.6274487,Loiter,1497302406.0,2017-06-12 21:20:06+00:00
36.1819541,-75.7515277,3.82,-0.53,35.11009,0.1362918,0.6171411,Loiter,1497302406.0,2017-06-12 21:20:06+00:00
36.1819542,-75.7515287,3.8,-0.55,35.13251,0.1399903,0.616711,Loiter,1497302408.0,2017-06-12 21:20:08+00:00
36.1819542,-75.7515288,3.8,-0.55,35.34151,0.1351761,0.614419,Loiter,1497302409.0,2017-06-12 21:20:09+00:00
36.1819543,-75.7515289,3.8,-0.55,35.34414,0.1307761,0.6233392,Loiter,1497302409.0,2017-06-12 21:20:09+00:00
36.1819543,-75.751529,3.8,-0.55,35.3518,0.1321853,0.6277398,Loiter,1497302409.0,2017-06-12 21:20:09+00:00
36.1819543,-75.7515291,3.81,-0.54,35.36958,0.1330423,0.6277652,Loiter,1497302409.0,2017-06-12 21:20:09+00:00
36.1819543,-75.7515292,3.81,-0.54,35.39708,0.1305435,0.6231782,Loiter,1497302410.0,2017-06-12 21:20:10+00:00
36.1819543,-75.7515293,3.81,-0.54,35.41377,0.1333234,0.6085758,Loiter,1497302410.0,2017-06-12 21:20:10+00:00
36.1819544,-75.7515294,3.83,-0.52,35.41922,0.1374601,0.6064673,Loiter,1497302410.0,2017-06-12 21:20:10+00:00
36.1819544,-75.7515295,3.83,-0.52,35.4256,0.1412478,0.6010886,Loiter,1497302410.0,2017-06-12 21:20:10+00:00
36.1819543,-75.7515296,3.82,-0.53,35.44117,0.1347385,0.6020988,Loiter,1497302411.0,2017-06-12 21:20:11+00:00
36.1819542,-75.7515298,3.84,-0.51,35.46532,0.1406661,0.5968071,Loiter,1497302411.0,2017-06-12 21:20:11+00:00
36.1819541,-75.7515298,3.85,-0.5,35.46879,0.1455792,0.5983277,Loiter,1497302411.0,2017-06-12 21:20:11+00:00
36.181954,-75.75153,3.85,-0.5,35.46848,0.1503156,0.6065008,Loiter,1497302411.0,2017-06-12 21:20:11+00:00
36.1819539,-75.7515301,3.88,-0.47,35.47409,0.1574907,0.6102416,Loiter,1497302411.0,2017-06-12 21:20:11+00:00
36.1819539,-75.7515302,3.88,-0.47,35.48628,0.1529621,0.6118154,Loiter,1497302412.0,2017-06-12 21:20:12+00:00
36.1819538,-75.7515303,3.89,-0.46,35.49904,0.1535697,0.605992,Loiter,1497302412.0,2017-06-12 21:20:12+00:00
36.1819537,-75.7515305,3.9,-0.45,35.51586,0.1557964,0.5984299,Loiter,1497302412.0,2017-06-12 21:20:12+00:00
36.1819536,-75.7515306,3.91,-0.44,35.53634,0.1514062,0.5953248,Loiter,1497302412.0,2017-06-12 21:20:12+00:00
36.1819535,-75.7515307,3.92,-0.43,35.5383,0.1506053,0.5981145,Loiter,1497302412.0,2017-06-12 21:20:12+00:00
36.1819534,-75.7515309,3.93,-0.42,35.55349,0.1560371,0.5998963,Loiter,1497302413.0,2017-06-12 21:20:13+00:00
36.1819534,-75.751531,3.93,-0.42,35.56646,0.1537529,0.6042917,Loiter,1497302413.0,2017-06-12 21:20:13+00:00
36.1819533,-75.7515311,3.94,-0.41,35.57228,0.1510701,0.6006057,Loiter,1497302413.0,2017-06-12 21:20:13+00:00
36.1819533,-75.7515312,3.94,-0.41,35.58833,0.1420971,0.5941896,Loiter,1497302413.0,2017-06-12 21:20:13+00:00
36.1819533,-75.7515313,3.95,-0.4,35.59727,0.1445049,0.5904394,Loiter,1497302413.0,2017-06-12 21:20:13+00:00
36.1819532,-75.7515314,3.94,-0.41,35.60892,0.1498349,0.5908713,Loiter,1497302414.0,2017-06-12 21:20:14+00:00
36.1819532,-75.7515316,3.96,-0.39,35.62645,0.1482893,0.5666754,Loiter,1497302414.0,2017-06-12 21:20:14+00:00
36.1819531,-75.7515317,3.95,-0.4,35.63676,0.1455738,0.5613391,Loiter,1497302414.0,2017-06-12 21:20:14+00:00
36.181953,-75.7515318,3.96,-0.39,35.64749,0.1399913,0.5604231,Loiter,1497302414.0,2017-06-12 21:20:14+00:00
36.181953,-75.7515319,3.96,-0.39,35.65539,0.1468819,0.5587107,Loiter,1497302414.0,2017-06-12 21:20:14+00:00
36.1819529,-75.751532,3.96,-0.39,35.66675,0.1464948,0.5630769,Loiter,1497302415.0,2017-06-12 21:20:15+00:00
36.1819529,-75.7515321,3.96,-0.39,35.67286,0.1437589,0.5701525,Loiter,1497302415.0,2017-06-12 21:20:15+00:00
36.1819529,-75.7515322,3.96,-0.39,35.67858,0.1514822,0.5845037,Loiter,1497302415.0,2017-06-12 21:20:15+00:00
36.1819529,-75.7515323,3.96,-0.39,35.68087,0.1587127,0.5879003,Loiter,1497302415.0,2017-06-12 21:20:15+00:00
36.1819528,-75.7515325,3.96,-0.39,35.69142,0.161302,0.5878724,Loiter,1497302415.0,2017-06-12 21:20:15+00:00
36.1819528,-75.7515326,3.96,-0.39,35.70084,0.1586183,0.5948725,Loiter,1497302416.0,2017-06-12 21:20:16+00:00
36.1819527,-75.7515327,3.96,-0.39,35.71209,0.1596369,0.600614,Loiter,1497302416.0,2017-06-12 21:20:16+00:00
36.1819527,-75.7515329,3.94,-0.41,35.72084,0.1616024,0.6069026,Loiter,1497302416.0,2017-06-12 21:20:16+00:00
36.1819527,-75.751533,3.94,-0.41,35.72741,0.1647656,0.6104448,Loiter,1497302416.0,2017-06-12 21:20:16+00:00
36.1819526,-75.7515331,3.94,-0.41,35.74316,0.1596651,0.6202124,Loiter,1497302416.0,2017-06-12 21:20:16+00:00
36.1819526,-75.7515332,3.94,-0.41,35.75606,0.1586215,0.6119988,Loiter,1497302417.0,2017-06-12 21:20:17+00:00
36.1819525,-75.7515333,3.93,-0.42,35.75282,0.1576446,0.6156517,Loiter,1497302417.0,2017-06-12 21:20:17+00:00
36.1819524,-75.7515334,3.94,-0.41,35.75781,0.1611146,0.6237885,Loiter,1497302417.0,2017-06-12 21:20:17+00:00
36.1819525,-75.7515334,3.93,-0.42,35.76781,0.1604036,0.631207,Loiter,1497302417.0,2017-06-12 21:20:17+00:00
36.1819524,-75.7515336,3.91,-0.44,35.76217,0.1613745,0.6370081,Loiter,1497302417.0,2017-06-12 21:20:17+00:00
36.1819524,-75.7515337,3.92,-0.43,35.75524,0.1534882,0.64381,Loiter,1497302418.0,2017-06-12 21:20:18+00:00
36.1819524,-75.7515338,3.92,-0.43,35.76252,0.1530488,0.6442108,Loiter,1497302418.0,2017-06-12 21:20:18+00:00
36.1819524,-75.7515339,3.92,-0.43,35.77266,0.153855,0.6378246,Loiter,1497302418.0,2017-06-12 21:20:18+00:00
36.1819524,-75.751534,3.91,-0.44,35.78171,0.1512412,0.6405231,Loiter,1497302418.0,2017-06-12 21:20:18+00:00
36.1819524,-75.7515341,3.89,-0.46,35.78848,0.1524798,0.6454691,Loiter,1497302418.0,2017-06-12 21:20:18+00:00
36.1819524,-75.7515342,3.88,-0.47,35.77615,0.1516513,0.6472031,Loiter,1497302419.0,2017-06-12 21:20:19+00:00
36.1819524,-75.7515343,3.89,-0.46,35.77475,0.1512108,0.6492578,Loiter,1497302419.0,2017-06-12 21:20:19+00:00
36.1819523,-75.7515343,3.89,-0.46,35.78685,0.1487298,0.6602643,Loiter,1497302419.0,2017-06-12 21:20:19+00:00
36.1819523,-75.7515344,3.88,-0.47,35.78228,0.1437197,0.6589814,Loiter,1497302419.0,2017-06-12 21:20:19+00:00
36.1819523,-75.7515345,3.88,-0.47,35.78571,0.1435478,0.6493301,Loiter,1497302419.0,2017-06-12 21:20:19+00:00
36.1819523,-75.7515346,3.87,-0.48,35.79451,0.1359309,0.6582677,Loiter,1497302420.0,2017-06-12 21:20:20+00:00
36.1819522,-75.7515347,3.87,-0.48,35.80772,0.1315898,0.6535421,Loiter,1497302420.0,2017-06-12 21:20:20+00:00
36.1819522,-75.7515348,3.86,-0.49,35.81676,0.1398414,0.656942,Loiter,1497302420.0,2017-06-12 21:20:20+00:00
36.1819522,-75.7515349,3.86,-0.49,35.82389,0.1377733,0.6578764,Loiter,1497302421.0,2017-06-12 21:20:21+00:00
36.1819522,-75.7515351,3.85,-0.5,35.8337,0.1416546,0.6562823,Loiter,1497302421.0,2017-06-12 21:20:21+00:00
36.1819521,-75.7515351,3.85,-0.5,35.82573,0.1461536,0.6539704,Loiter,1497302421.0,2017-06-12 21:20:21+00:00
36.1819521,-75.7515352,3.85,-0.5,35.83683,0.1397354,0.6568834,Loiter,1497302421.0,2017-06-12 21:20:21+00:00
36.181952,-75.7515353,3.84,-0.51,35.85389,0.1525062,0.6346357,Loiter,1497302422.0,2017-06-12 21:20:22+00:00
36.181952,-75.7515355,3.84,-0.51,35.86437,0.1469667,0.6219113,Loiter,1497302422.0,2017-06-12 21:20:22+00:00
36.181952,-75.7515356,3.84,-0.51,35.87864,0.1529629,0.6147516,Loiter,1497302422.0,2017-06-12 21:20:22+00:00
36.181952,-75.7515357,3.84,-0.51,35.89071,0.1564645,0.6156817,Loiter,1497302423.0,2017-06-12 21:20:23+00:00
36.181952,-75.7515358,3.82,-0.53,35.92065,0.1569899,0.6111907,Loiter,1497302423.0,2017-06-12 21:20:23+00:00
36.181952,-75.7515359,3.82,-0.53,35.9315,0.1484547,0.6079239,Loiter,1497302423.0,2017-06-12 21:20:23+00:00
36.1819519,-75.751536,3.8,-0.55,35.93684,0.1439855,0.6097796,Loiter,1497302424.0,2017-06-12 21:20:24+00:00
36.1819519,-75.7515361,3.79,-0.56,35.95134,0.1397519,0.6154959,Loiter,1497302424.0,2017-06-12 21:20:24+00:00
36.1819518,-75.7515361,3.78,-0.57,35.95535,0.1443095,0.6228361,Loiter,1497302424.0,2017-06-12 21:20:24+00:00
36.1819518,-75.7515362,3.79,-0.56,35.95148,0.1368626,0.623988,Loiter,1497302424.0,2017-06-12 21:20:24+00:00
36.1819517,-75.7515362,3.79,-0.56,35.9588,0.1417779,0.6247647,Loiter,1497302425.0,2017-06-12 21:20:25+00:00
36.1819516,-75.7515363,3.79,-0.56,35.97266,0.1504469,0.6386968,Loiter,1497302425.0,2017-06-12 21:20:25+00:00
36.1819516,-75.7515364,3.79,-0.56,35.98242,0.1489329,0.645699,Loiter,1497302425.0,2017-06-12 21:20:25+00:00
36.1819515,-75.7515364,3.79,-0.56,35.98849,0.1514553,0.6419516,Loiter,1497302425.0,2017-06-12 21:20:25+00:00
36.1819514,-75.7515364,3.8,-0.55,36.00345,0.1609094,0.6434166,Loiter,1497302426.0,2017-06-12 21:20:26+00:00
36.1819514,-75.7515365,3.79,-0.56,36.01083,0.1616263,0.6379676,Loiter,1497302426.0,2017-06-12 21:20:26+00:00
36.1819513,-75.7515365,3.79,-0.56,36.01019,0.1649314,0.6419618,Loiter,1497302426.0,2017-06-12 21:20:26+00:00
36.1819512,-75.7515366,3.79,-0.56,36.01131,0.1874958,0.6254806,Loiter,1497302427.0,2017-06-12 21:20:27+00:00
36.1819511,-75.7515366,3.81,-0.54,36.00849,0.1803735,0.6210212,Loiter,1497302427.0,2017-06-12 21:20:27+00:00
36.181951,-75.7515366,3.82,-0.53,36.01544,0.1778827,0.6245121,Loiter,1497302427.0,2017-06-12 21:20:27+00:00
36.181951,-75.7515367,3.83,-0.52,36.01907,0.1797353,0.6234608,Loiter,1497302428.0,2017-06-12 21:20:28+00:00
36.1819509,-75.7515367,3.84,-0.51,36.0182,0.1858073,0.6386779,Loiter,1497302428.0,2017-06-12 21:20:28+00:00
36.1819508,-75.7515368,3.85,-0.5,36.02274,0.1808431,0.6456844,Loiter,1497302428.0,2017-06-12 21:20:28+00:00
36.1819507,-75.7515367,3.87,-0.48,36.03194,0.1809691,0.6503389,Loiter,1497302428.0,2017-06-12 21:20:28+00:00
36.1819507,-75.7515368,3.88,-0.47,36.0379,0.1805604,0.6520647,Loiter,1497302429.0,2017-06-12 21:20:29+00:00
36.1819506,-75.7515368,3.87,-0.48,36.03535,0.175091,0.6502772,Loiter,1497302429.0,2017-06-12 21:20:29+00:00
36.1819505,-75.7515368,3.87,-0.48,36.04735,0.1792486,0.6382449,Loiter,1497302429.0,2017-06-12 21:20:29+00:00
36.1819504,-75.7515369,3.9,-0.45,36.06173,0.1754271,0.6314772,Loiter,1497302430.0,2017-06-12 21:20:30+00:00
36.1819504,-75.7515368,3.9,-0.45,36.05381,0.1727444,0.6212742,Loiter,1497302430.0,2017-06-12 21:20:30+00:00
36.1819504,-75.7515369,3.91,-0.44,36.05299,0.1690933,0.6161078,Loiter,1497302430.0,2017-06-12 21:20:30+00:00
36.1819503,-75.7515369,3.92,-0.43,36.05344,0.1716463,0.618516,Loiter,1497302430.0,2017-06-12 21:20:30+00:00
36.1819502,-75.751537,3.93,-0.42,36.07505,0.184379,0.6266958,Loiter,1497302431.0,2017-06-12 21:20:31+00:00
36.1819501,-75.751537,3.93,-0.42,36.06587,0.184388,0.6455266,Loiter,1497302431.0,2017-06-12 21:20:31+00:00
36.1819501,-75.7515371,3.93,-0.42,36.07331,0.1805074,0.6571702,Loiter,1497302431.0,2017-06-12 21:20:31+00:00
36.18195,-75.7515371,3.95,-0.4,36.07248,0.1778395,0.6740956,Loiter,1497302432.0,2017-06-12 21:20:32+00:00
36.18195,-75.7515372,3.94,-0.41,36.07051,0.1818107,0.6879025,Loiter,1497302432.0,2017-06-12 21:20:32+00:00
36.1819499,-75.7515372,3.93,-0.42,36.07516,0.1738538,0.6850768,Loiter,1497302432.0,2017-06-12 21:20:32+00:00
36.1819499,-75.7515373,3.92,-0.43,36.08348,0.1686185,0.6768805,Loiter,1497302433.0,2017-06-12 21:20:33+00:00
36.1819498,-75.7515373,3.91,-0.44,36.07384,0.1701366,0.6812115,Loiter,1497302433.0,2017-06-12 21:20:33+00:00
36.1819497,-75.7515373,3.89,-0.46,36.07425,0.1524175,0.6904181,Loiter,1497302434.0,2017-06-12 21:20:34+00:00
36.1819496,-75.7515373,3.86,-0.49,36.07333,0.1536139,0.7044876,Loiter,1497302434.0,2017-06-12 21:20:34+00:00
36.1819495,-75.7515372,3.88,-0.47,36.08349,0.1361169,0.7057012,Loiter,1497302435.0,2017-06-12 21:20:35+00:00
36.1819494,-75.7515372,3.87,-0.48,36.08804,0.1376656,0.6847777,Loiter,1497302435.0,2017-06-12 21:20:35+00:00
36.1819493,-75.7515372,3.9,-0.45,36.10793,0.1341849,0.7069393,Loiter,1497302436.0,2017-06-12 21:20:36+00:00
36.1819493,-75.7515371,3.92,-0.43,36.11122,0.1356296,0.7031785,Loiter,1497302436.0,2017-06-12 21:20:36+00:00
36.1819492,-75.7515371,3.92,-0.43,36.10918,0.1296016,0.6900473,Loiter,1497302437.0,2017-06-12 21:20:37+00:00
36.1819492,-75.751537,3.96,-0.39,36.1219,0.1249678,0.678874,Loiter,1497302437.0,2017-06-12 21:20:37+00:00
36.1819491,-75.751537,3.96,-0.39,36.12271,0.1329755,0.6714751,Loiter,1497302437.0,2017-06-12 21:20:37+00:00
36.1819492,-75.751537,3.98,-0.37,36.11419,0.129526,0.666955,Loiter,1497302437.0,2017-06-12 21:20:37+00:00
36.1819491,-75.751537,3.98,-0.37,36.11131,0.1315377,0.6584054,Loiter,1497302438.0,2017-06-12 21:20:38+00:00
36.181949,-75.751537,3.99,-0.36,36.14824,0.1370905,0.6536798,Loiter,1497302438.0,2017-06-12 21:20:38+00:00
36.181949,-75.7515369,4.01,-0.34,36.16079,0.1358454,0.6517385,Loiter,1497302438.0,2017-06-12 21:20:38+00:00
36.181949,-75.7515368,4.02,-0.33,36.19624,0.1488975,0.6288545,Loiter,1497302440.0,2017-06-12 21:20:40+00:00
36.1819491,-75.7515368,4.02,-0.33,36.19915,0.1564989,0.6399533,Loiter,1497302440.0,2017-06-12 21:20:40+00:00
36.1819491,-75.7515367,4.01,-0.34,36.20147,0.1627161,0.6464379,Loiter,1497302441.0,2017-06-12 21:20:41+00:00
36.181949,-75.7515367,4.01,-0.34,36.20937,0.1661979,0.6396782,Loiter,1497302441.0,2017-06-12 21:20:41+00:00
36.181949,-75.7515366,4.01,-0.34,36.21174,0.1652814,0.6238288,Loiter,1497302441.0,2017-06-12 21:20:41+00:00
36.1819491,-75.7515366,4.01,-0.34,36.21753,0.1719354,0.6375175,Loiter,1497302442.0,2017-06-12 21:20:42+00:00
36.1819491,-75.7515365,4.02,-0.33,36.21886,0.1747959,0.6490378,Loiter,1497302442.0,2017-06-12 21:20:42+00:00
36.1819491,-75.7515364,4.03,-0.32,36.2024,0.1740814,0.6222771,Loiter,1497302443.0,2017-06-12 21:20:43+00:00
36.1819492,-75.7515364,4.02,-0.33,36.20698,0.181848,0.6350559,Loiter,1497302443.0,2017-06-12 21:20:43+00:00
36.1819491,-75.7515364,3.98,-0.37,36.1825,0.1883716,0.6230861,Loiter,1497302444.0,2017-06-12 21:20:44+00:00
36.1819491,-75.7515363,3.96,-0.39,36.17028,0.1939833,0.6262747,Loiter,1497302444.0,2017-06-12 21:20:44+00:00
36.181949,-75.7515363,3.95,-0.4,36.18746,0.1873845,0.6343995,Loiter,1497302445.0,2017-06-12 21:20:45+00:00
36.181949,-75.7515362,3.95,-0.4,36.17747,0.1897485,0.6445395,Loiter,1497302445.0,2017-06-12 21:20:45+00:00
36.1819489,-75.7515361,3.97,-0.38,36.19413,0.1862151,0.6371887,Loiter,1497302446.0,2017-06-12 21:20:46+00:00
